customer_tweet_id,intent_id,drafted_reply,escalate,escalation_reason
15279,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
15279,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
15279,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
42584,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
43308,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
43308,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
69770,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
122772,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
130850,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
139078,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
155198,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
158665,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
173515,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
174576,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
179186,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
179327,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
179499,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
179499,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
179499,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
206947,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
207756,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
225255,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
231861,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
243141,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
