customer_tweet_id,intent_id,drafted_reply,escalate,escalation_reason,nn_similarity
15279,unclassified_nn,"@160303 Apologies for the trouble. Kindly fill in your details here:https://t.co/GIJyeYqKE0
 and we'll get this checked for you. ^PB",False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.4408309952910244
15279,unclassified_nn,"@160303 Apologies for the trouble. Kindly fill in your details here:https://t.co/GIJyeYqKE0
 and we'll get this checked for you. ^PB",False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.4408309952910244
15279,unclassified_nn,"@160303 Apologies for the trouble. Kindly fill in your details here:https://t.co/GIJyeYqKE0
 and we'll get this checked for you. ^PB",False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.4408309952910244
42584,unclassified_nn,"@231112 I get your concern about delivery of your order. Apologies. Please reach us from here: https://t.co/rS49hgaADF. We'll check your concern &amp; assist you. Please don't provide your order details, we consider it personal info. Our Twitter page is visible to public. ^SV",False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.49367827933116376
43308,unclassified_nn,"@753302 Apologies, please share your details here: https://t.co/GIJyeYqKE0 &amp; we'll get back to you with an update soon. ^BS",False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.36657580924087374
43308,unclassified_nn,"@753302 Apologies, please share your details here: https://t.co/GIJyeYqKE0 &amp; we'll get back to you with an update soon. ^BS",False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.36657580924087374
69770,unclassified_nn,@454317 Black Friday sale isn't available in India. ^NR,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.4798345890874511
122772,unclassified_nn,"@216157 Hola, Jonathan. ¿Cuál es el estado del pedido en la sección ""Mis Pedidos""? ^JQ",True,Thread already has 2 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.5561160351015537
130850,unclassified_nn,@167138 Request you to wait till the estimated delivery date. I'm positive the package will be delivered to you soon. ^SQ,True,Thread already has 19 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.7649481334030367
139078,unclassified_nn,"@458631 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2) ^SV",False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.41108100570600853
155198,unclassified_nn,"@353771 D'accord. Je vous invite à le signaler à notre SAV via le lien suivant : https://t.co/MBTDQi7u2J 
^SM",True,Thread already has 2 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.4848173624645707
158665,unclassified_nn,@798159 What is the current status on the tracking?^CN,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.4850704761217125
173515,unclassified_nn,@182232 That's strange. Pls reach out here so we can look into this for you  https://t.co/JzP7hlA23B ^KM,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.41910675160077365
174576,unclassified_nn,"@165138 I'm sorry, Amazon Prime is not currently available in Iraq. ^MJ",False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.3797778629667662
179186,unclassified_nn,@428017 Thanks. Pls use this link to confirm your replacement/refund options :  https://t.co/aaDyEz1VgE  ^TD,True,Thread already has 6 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.4700206074764638
179327,unclassified_nn,@119451 Sorry for the delay. Have you received the refund reference number? ^NS,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.5775227431254845
179499,unclassified_nn,@665365 That’s quite a comment. Could you please let us know what went wrong? We’ll fix this out. ^SB,True,Thread already has 5 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.5939349036441505
179499,unclassified_nn,@665365 That’s quite a comment. Could you please let us know what went wrong? We’ll fix this out. ^SB,True,Thread already has 5 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.5939349036441505
179499,unclassified_nn,@665365 That’s quite a comment. Could you please let us know what went wrong? We’ll fix this out. ^SB,True,Thread already has 5 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.5939349036441505
206947,unclassified_nn,@170838 When did you place your order? ^KM,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.6780486292755448
207756,unclassified_nn,"@446824 Thanks for the confirmation, Deepthi. Our team will check and get back to you with an update soon. Request you to wait. ^NK",True,Thread already has 4 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.5277698981878732
225255,unclassified_nn,@210881 I'm sorry for the trouble finding the Amazon Music app. What device are you trying to download the app onto? ^AN,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.7090107017734226
231861,unclassified_nn,@419800 We've emailed you here: https://t.co/DTSNmGldJf Kindly check and write back to it for further assistance. ^SY,True,Thread already has 6 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.8529955290475122
243141,unclassified_nn,@371295 What is the issue you are having using the Online Returns Center? ^SM,True,Thread already has 6 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.4933824194981153
246426,unclassified_nn,@232603 Thank you for bringing this to our notice. I'll be sure to pass this on internally to the concerned team for rectification. ^GD,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.5424646012355991
259382,unclassified_nn,"@446110 I understand your concern, Drew. What was the estimated delivery date provided in your order confirmation e-mail? Has the order already been shipped? Please keep us posted! ^SD",True,Thread already has 2 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.5235418285278007
270917,unclassified_nn,"@55043 I understand your frustration. When creating the return label, does the reason for return show ""damaged/defective"" or something else? More information about organizing a collection for your return can be found here: https://t.co/PfAeslqz49 ^SK",False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.3854602181460375
288258,unclassified_nn,@278817 Kindly go through the link for more information here: https://t.co/xuWyZ3A8lT ^AK,True,Thread already has 2 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.4294930454066985
288258,unclassified_nn,@278817 Kindly go through the link for more information here: https://t.co/xuWyZ3A8lT ^AK,True,Thread already has 2 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.4294930454066985
298984,unclassified_nn,"@179812 I'm so sorry for the wait! To confirm, are you currently expecting an order? ^LR",False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.6371307272443459
346746,unclassified_nn,@315358 You can DM us by clicking on the link below! ^WT https://t.co/1XyLaGkcaN,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.42348281360436374
365644,unclassified_nn,"@441544 Happy Birthday to you, Happy Birthday to you, Happy Birthday to dear Shivam, Happy Birth day to you 🎉 ^MJ",True,Thread already has 6 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.4502522344267862
371089,unclassified_nn,"@742468 N'ayant pas accès à votre compte depuis Twitter, pour avoir une réponse immédiate, merci de joindre notre SAV par téléphone ou chat. ^MA",True,Thread already has 4 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.8338297710788247
371089,unclassified_nn,"@742468 N'ayant pas accès à votre compte depuis Twitter, pour avoir une réponse immédiate, merci de joindre notre SAV par téléphone ou chat. ^MA",True,Thread already has 4 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.8338297710788247
380161,unclassified_nn,"@240975 As mentioned earlier, we haven't received your details. Kindly share them through the secured link mentioned above by my colleague 'HR' and we'll get back to you with an update. ^AU",False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.4661710605501611
