customer_tweet_id,intent_id,drafted_reply,escalate,escalation_reason
69770,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
122772,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
158665,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
179327,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
243141,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
390011,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
491382,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
494830,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
544436,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
751715,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
784074,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
1032368,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
1118575,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
1380709,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
1421287,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
1421287,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
1603748,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
1727742,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
1727742,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
2009964,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
2311992,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
2318972,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
2318972,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
2345611,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
2482402,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
2630095,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
2909170,general_feedback,Thanks for reaching out! We're looking into this and will follow up shortly.,False,Trivial baseline never escalates.
