customer_tweet_id,intent_id,drafted_reply,escalate,escalation_reason,nn_similarity
69770,unclassified_nn,@454317 Black Friday sale isn't available in India. ^NR,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.4798494110518728
122772,unclassified_nn,"@216157 Hola, Jonathan. ¿Cuál es el estado del pedido en la sección ""Mis Pedidos""? ^JQ",True,Thread already has 2 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.5561308796436656
158665,unclassified_nn,@798159 What is the current status on the tracking?^CN,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.48503768772948175
179327,unclassified_nn,@119451 Sorry for the delay. Have you received the refund reference number? ^NS,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.5775015163863666
243141,unclassified_nn,@371295 What is the issue you are having using the Online Returns Center? ^SM,True,Thread already has 6 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.49347007597438425
390011,unclassified_nn,@214484 We've responded to your query here: https://t.co/9GbTvFcj2A. Kindly check. ^PS,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.8859535129447047
491382,unclassified_nn,"@154677 Lamento el contratiempo, Alex. ¿El pedido fue enviado por Amazon o un vendedor en nuestra página? ^JQ",True,Thread already has 4 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.5015658360907005
494830,unclassified_nn,"@691154 Nico, las retenciones tardan de 7 a 10 días laborables en ser liberado por tu banco. De igual manera puedes ponerte en contacto con nuestro servicio de Atención al cliente por medio del siguiente enlace para que te brinden asistencia: https://t.co/vTmdl3jkoG ^FZ",True,Thread already has 8 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.40174091324030103
544436,unclassified_nn,@478523 us know what went wrong so we can assist you accordingly. 2/2 ^SH,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.39474631388996695
751715,unclassified_nn,"@228722 I am sorry to see this - we do aim to meet the delivery date provided in the order confirmation email, but sometimes we do need to allow extra time for deliveries to complete  ^TD",False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.4231796150806829
784074,unclassified_nn,@116611 Hmm.... Let's take a closer look into what's going on here: https://t.co/jzvkhdlrK5 ^ML,True,Thread already has 2 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,1.0
1032368,unclassified_nn,@123963 We have sent a correspondence to your registered email ID. Request you to check and reply for further assistance. ^SB,True,Thread already has 3 prior turns — repeated contact suggests the automated reply path hasn't resolved it and churn risk is elevated.,0.7140420915419624
1118575,unclassified_nn,"@805429 That's not what we like to see! Are the contents of the package ok? So we can best help you, will you confirm the carrier listed here: https://t.co/Y5jpI9gRhE? ^CS",False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.4724934640456773
1380709,unclassified_nn,@800866 Hello! Without posting account information can you tell us more about the issue you're having? We'll be glad to help!^CN,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.6483486365815416
1421287,unclassified_nn,@815986 Sorry for the wait! Have we missed your estimated delivery date provided here: https://t.co/aaDyEz1VgE ? ^TH,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.405938758351308
1421287,unclassified_nn,@815986 Sorry for the wait! Have we missed your estimated delivery date provided here: https://t.co/aaDyEz1VgE ? ^TH,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.405938758351308
1603748,unclassified_nn,@497676 What does your tracking show: https://t.co/ijxJ9jCwr9? Has your order missed the delivery date?  ^AF,False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.44863321757918917
1727742,unclassified_nn,"@706890 I'm so sorry your order wasn't left at your safe place, Mark! We'd like to look into this for you and make sure this is reported to the courier. In order for us to do so, please reach out to us here: https://t.co/JzP7hlA23B. ^WJ",False,No hard-rule keyword match; simple baseline has no other escalation logic.,0.4253822473307176
